CONCEPTO,2015/16,2016/17,2017/18,2018/19,,,,,,,,
Total,197.630,190.581,186.690,181.608,,,,,,,,
Primaria,58.733,54.311,48.222,51.546,,,,,,,,
Urbana,45.687,43,066,38,160,40,885,,,,,
Rural,13.046,11,245,10,062,10,661,,,,,
Media,111.763,107.054,108.609,102.066,,,,,,,,
Secundaria,basica,59,389,57,807,58,957,55,325,,,
De,ello:,En,el,campo,4273,4,200,4216,3770,,,
Preuniversitario,29,459,27770,27,149,27,351,,,,,
De,ello:,En,el,campo,3,057,3,038,3,099,3,076
Técnica,y,profesional,19.066,18.345,19.376,16.163,,,,,,
Técnico,medio,10.978,10.908,13.735,11.384,,,,,,,
Ministerio,de,Educacion,6.312,6,509,8,099,7,501,,,
Otros,organismos,4.666,4,399,5,636,3,883,,,,
Obrero,calificado,8.088,7.437,5.641,4.779,,,,,,,
Ministerio,de,Educacién,7.957,7,236,5,582,4,685,,,
Otros,organismos,131,201,59,94,,,,,,,
Formacion,del,personal,pedagdégico,3.849,3,132,3127,3,227,,,
Especial,1.930,1,878,1,801,1,847,,,,,
Adultos,10.704,12.103,14.148,12.411,,,,,,,,
Educacion,obrero,campesina,326,575,389,342,,,,,,
Secundaria,obrero,campesina,1.176,1,367,1,283,1,031,,,
Facultad,obrero,campesina,6.699,7,690,9617,8,482,,,,
Idiomas,2.503,2471,2,859,2,556,,,,,,
Superior,14.500,15.235,13.910,13.738,,,,,,,,
Ministerio,de,Educacién,Superior,8.110,8,582,8,134,7,022,,
Ministerio,de,Educacion,123,-,-,-,,,,,,
Ministerio,de,Salud,Publica,6.032,6471,5,594,6,534,,,
Otros,organismos,235,182,182,182,,,,,,,
