f—D,v,<,DeepSeek,DeepSeek,-,Into,t...,¢,/*,Dashboard.mo...,4,Create,Next,App,©,wwwoonei.gob.cu/sites/,ad,(G),js,csv,-,Buscar,c...,Visualizaci6n,de...,4,Create,Next,App,a,+
16.6,-,Personal,docente,por,educaciones,,,,,,,,,,,,,,,,,,,,,,,,,,
Unidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONCEPTO,2015/16,2016/17,2017/18,2018/19,2019/20,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,296.000,299.572,289.003,285.309,295.060,,,,,,,,,,,,,,,,,,,,,,,,,,
Circulos,infantiles,23,010,22,032,20,476,20,843,20,549,,,,,,,,,,,,,,,,,,,,
De,ello:,Preescolar,2,252,1711,2129,1,767,1,597,,,,,,,,,,,,,,,,,,,,,
Prescolar,8.466,8.577,8.452,8.377,8.686,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbana,5.027,5,054,4974,4904,5,018,,,,,,,,,,,,,,,,,,,,,,,,
Rural,3.439,3,523,3,478,3,473,3,668,,,,,,,,,,,,,,,,,,,,,,
Primaria,107.694,106.224,102.745,101.503,106.454,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbana,70.823,69,789,67,181,66,648,70,228,,,,,,,,,,,,,,,,,,,,,,
Rural,36.871,36,435,35,564,34,855,36,226,,,,,,,,,,,,,,,,,,,,,,
Media,88.176,84.780,79.886,77.447,81.354,,,,,,,,,,,,,,,,,,,,,,,,,,
Secundaria,basica,42.293,40.552,38.204,35.956,36.736,,,,,,,,,,,,,,,,,,,,,,,,,
Urbano,37.522,35,940,33,930,32,065,32,844,,,,,,,,,,,,,,,,,,,,,,
Rural,4.771,4612,4274,3,891,3,892,,,,,,,,,,,,,,,,,,,,,,,,
Preuniversitario,17.449,16.522,15.759,14.926,15.200,,,,,,,,,,,,,,,,,,,,,,,,,,
Urbano,14.741,13,880,13,102,12,562,12,832,,,,,,,,,,,,,,,,,,,,,,
Rural,2.708,2,642,2,657,2,364,2,368,,,,,,,,,,,,,,,,,,,,,,
Técnica,y,profesional,25.875,25.244,23.316,23.920,26.360,,,,,,,,,,,,,,,,,,,,,,,,
Ministerio,de,Educacion,©,21.331,19,889,18,662,18,151,20,577,,,,,,,,,,,,,,,,,,,
Otros,organismos,4.544,5,355,4654,5,769,5,783,,,,,,,,,,,,,,,,,,,,,,
Escuelas,pedagdégicas,2.559,2,462,2,607,2,645,3,058,,,,,,,,,,,,,,,,,,,,,
Escuelas,de,arte,2.593,2214,2,272,2214,2,369,,,,,,,,,,,,,,,,,,,,,,
Escuelas,de,deporte,3.220,3218,3,548,3,127,3,239,,,,,,,,,,,,,,,,,,,,,
Adultos,4.072,4.221,4.295,4.166,4.221,,,,,,,,,,,,,,,,,,,,,,,,,,
Educacién,obrero,campesina,138,178,96,64,68,,,,,,,,,,,,,,,,,,,,,,,,
Secundaria,obrero,campesina,148,155,201,142,111,,,,,,,,,,,,,,,,,,,,,,,,
Facultad,obrero,campesina,3.452,3,508,3,567,3515,3519,,,,,,,,,,,,,,,,,,,,,,
Idiomas,334,380,431,445,523,,,,,,,,,,,,,,,,,,,,,,,,,,
Especial,15.278,14679,14,016,13,877,14129,,,,,,,,,,,,,,,,,,,,,,,,
Superior,43.491,53.627,53.313,53.755,54.059,,,,,,,,,,,,,,,,,,,,,,,,,,
Ministerio,de,Educacién,Superior,19.640,20,387,19,585,18,630,18,936,,,,,,,,,,,,,,,,,,,
Ministerio,de,Educacion,7717,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,
Ministerio,de,Salud,Publica,22.415,32,973,33,461,34,858,34,844,,,,,,,,,,,,,,,,,,,
Otros,organismos,659,267,267,267,279,,,,,,,,,,,,,,,,,,,,,,,,,
